Rosie Malek-Yonan	Assyrians
Jumana Hanna	Assyrians
Nuri Kino	Assyrians
Sinan Antoon	Assyrians
Farid Nazha	Assyrians
Naum Faiq	Assyrians
Freydun Atturaya	Assyrians
F. Murray Abraham	Assyrians
Terrence Malick	Assyrians
Tony Yalda	Assyrians
Yasmine Hanani	Assyrians
Rosie Malek-Yonan	Assyrians
Vincent Oshana	Assyrians
Naguib el-Rihani	Assyrians
Andre Khabbazi	Assyrians
Fares Fares	Assyrians
Josef Fares	Assyrians
Raad Ghantous	Assyrians
Hana Sadiq	Assyrians
Paulus Khofri	Assyrians
Eser Afacan	Assyrians
Farouk Kaspaules	Assyrians
Issa Benyamin	Assyrians
Thea Halo	Assyrians
Fred Parhad	Assyrians
George Malek-Yonan	Assyrians
Mustafa Hamsho	Assyrians
1952 Summer Olympics	Assyrians
Anwar Oshana	Assyrians
1948 Summer Olympics	Assyrians
Zaya Younan	Assyrians
Ammo Baba	Assyrians
Edison David	Assyrians
Bristol Rovers	Assyrians
Basil Gorgis Hanna	Assyrians
Thamer Yousif	Assyrians
Saad Benyamin	Assyrians
Aram Karam	Assyrians
Ayoub Odisho	Assyrians
Douglas Aziz Shamasha Eshaya (page does not exist)	Assyrians
Andrew Simon	Assyrians
Alex Agase	Assyrians
Lou Agase	Assyrians
Isho Shiba	Assyrians
Mustafa Hamsho	Assyrians
Zaya Younan	Assyrians
Anwar Oshana	Assyrians
Sammy Merza	Assyrians
Zurab Ionanidze	Assyrians
Major League Soccer	Assyrians
Assyriska	Assyrians
Kennedy Bakircioglu	Assyrians
Louay Chanko	Assyrians
George Mourad	Assyrians
Ilyas Merkes	Assyrians
Roda JC	Assyrians
FC Krylia Sovetov Samara	Assyrians
Zaya Avdysh	Assyrians
Christian Demirtas	Assyrians
Daniel Unal	Assyrians
Leena Khamis	Assyrians
Ninos Gouriye	Assyrians
Daniyel Cimen	Assyrians
Abgar Barsom	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
AIK Fotboll	Assyrians
Syrianska FC	Assyrians
Syrianska FC	Assyrians
Jimmy Durmaz	Assyrians
Syrianska FC	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Assyriska	Assyrians
Vitesse Arnhem	Assyrians
Justin Meram	Assyrians
Sargon Duran	Assyrians
Assyriska	Assyrians
Djurgardens IF Fotboll	Assyrians
Derry City F.C.	Assyrians
Kennedy Bakircioglu	Assyrians
Wrestling	Assyrians
National Olympic Committee of Iraq	Assyrians
Mixed martial arts	Assyrians
Daniel Alaei	Assyrians
Michael Shabaz	Assyrians
Andre Khabbazi	Assyrians
Samuel Kasrani	Assyrians
Ramona Amiri	Assyrians
Terrence Malick	Assyrians
Henri Charr	Assyrians
Nuri Kino	Assyrians
Rosie Malek-Yonan	Assyrians
Alfred Rasho	Assyrians
Lina Yakubova	Assyrians
Donny George Youkhanna	Assyrians
Emmanuel Kamber	Assyrians
Eprime Eshag	Assyrians
Hormuzd Rassam	Assyrians
Oriental studies	Assyrians
Ashur Yousif	Assyrians
Eden Naby	Assyrians
Paul Bedjan	Assyrians
Kanan Makiya	Assyrians
Hind Rassam Culhane	Assyrians
Thomas L. Saaty	Assyrians
Toma bar Yacoub	Assyrians
Hunayn ibn Ishaq	Assyrians
Masawaiyh	Assyrians
Bar Daysan	Assyrians
Aba I	Assyrians
Philoxenus of Mabbug	Assyrians
Babai the Great	Assyrians
Toma Audo	Assyrians
Mor Philoxenos Yuhanon Dolabani	Assyrians
Babai (Nestorian Patriarch)	Assyrians
Fuat Deniz	Assyrians
George Kiraz	Assyrians
Aphrahat	Assyrians
Oracle Corporation	Assyrians
Zaya Younan	Assyrians
Milton Malek-Yonan	Assyrians
Australia	Assyrians
Victor Nacif	Assyrians
Arizona Diamondbacks	Assyrians
Tony Rezko	Assyrians
Daniel Hadad	Assyrians
Shamoun Hanna Haydo	Assyrians
Agha Petros	Assyrians
Malik Khoshaba	Assyrians
Georges Sada	Assyrians
Nabonidus	Assyrians
Belshazzar	Assyrians
Izates I	Assyrians
Izates bar Monobaz	Assyrians
Ashur Yousif	Assyrians
Los Angeles, California	Assyrians
Obelit Yadgar	Assyrians
Fox News	Assyrians
Cindy Sargon	Assyrians
John Batchelor	Assyrians
Ramona Amiri	Assyrians
Scottie Pippen	Assyrians
Ashur Bet Sargis	Assyrians
Fairouz	Assyrians
Jamil Bashir	Assyrians
Munir Bashir	Assyrians
Paul Caldani	Assyrians
Linda George (Assyrian singer)	Assyrians
Paulus Khofri	Assyrians
William D. S. Daniel	Assyrians
Marganita Vogt-Khofri	Assyrians
Janan Sawa	Assyrians
Habib Mousa	Assyrians
Jan Karat	Assyrians
Elias Karam	Assyrians
Sargon Gabriel	Assyrians
Shamiram Urshan	Assyrians
Wadih el Safi	Assyrians
Evin Agassi	Assyrians
Juliana Jendo	Assyrians
Hanna Petros	Assyrians
Gabriel Asaad	Assyrians
George Chaharbakhshi	Assyrians
Acrassicauda	Assyrians
Melechesh	Assyrians
Aril Brikha	Assyrians
The 4 Cats	Assyrians
Timz	Assyrians
Ninsun Poli	Assyrians
Greek fire	Assyrians
Bukhtishu	Assyrians
Berossus	Assyrians
Diophantus	Assyrians
Bar-Hebraeus	Assyrians
Yuhanna Ibn Masawaih	Assyrians
Hunayn bar Ishaq	Assyrians
Thabit ibn Qurra	Assyrians
Ibrahim ibn Sinan	Assyrians
Iraqi Council of Representatives	Assyrians
Tel Kaif	Assyrians
Bahnam Zaya Bulos	Assyrians
Basimah Yusuf Butrus	Assyrians
Arbil	Assyrians
Iraqi Council of Representatives	Assyrians
Iraqi Council of Representatives	Assyrians
Wijdan Michael	Assyrians
Georges Sada	Assyrians
Iraqi Council of Representatives	Assyrians
Pascal Esho Warda	Assyrians
Holy See	Assyrians
Iraqi Communist Party	Assyrians
Kurdistan Regional Government	Assyrians
Tariq Aziz	Assyrians
Saddam Hussein	Assyrians
National Olympic Committee of Iraq	Assyrians
Tiras Odisho	Assyrians
Freydun Atturaya	Assyrians
Naum Faiq	Assyrians
Dr. William Ishaya	Assyrians
Mitch Daniels	Assyrians
US Congress	Assyrians
US Congress	Assyrians
Illinois	Assyrians
Anna Georges Eshoo	Assyrians
Liberal Party of Australia	Assyrians
Australia	Assyrians
Parliament of Sweden	Assyrians
Parliament of Sweden	Assyrians
Parliament of Sweden	Assyrians
Minister of State (Canada)	Assyrians
Attiya Gamri	Assyrians
Eugene Dooman	Assyrians
Assyrian Universal Alliance	Assyrians
Sargon Dadesho	Assyrians
European Syriac Union	Assyrians
Oaxaca	Assyrians
Assyrian kings	Assyrians
Addagoppe of Harran	Assyrians
Isa Kelemechi	Assyrians
Bar Sauma	Assyrians
Babai the Great	Assyrians
Basile Georges Casmoussa	Assyrians
David Benjamin Keldani	Assyrians
Henana of Adiabene	Assyrians
Isaac of Nineveh	Assyrians
Mar Dinkha IV	Assyrians
